model,category,figure_index,image_name,true_label,pred_label,prob_positive,plot_file
LightGBM_BAG_L1,best,1,ThyroidXL_train_00003284_1F60E8DF_3.png,0,0,0.007401821203529835,LightGBM_BAG_L1_waterfall_best_1
LightGBM_BAG_L1,best,2,ThyroidXL_train_00003291_452B8F69_1.png,0,0,0.007748380769044161,LightGBM_BAG_L1_waterfall_best_2
LightGBM_BAG_L1,best,3,ThyroidXL_train_00003557_31BFBEF0_1.png,0,0,0.007777410093694925,LightGBM_BAG_L1_waterfall_best_3
LightGBM_BAG_L1,best,4,ThyroidXL_train_00003715_0997EB86_3.png,0,0,0.007938936352729797,LightGBM_BAG_L1_waterfall_best_4
LightGBM_BAG_L1,best,5,ThyroidXL_train_00004768_BF830658_0.png,0,0,0.00807945616543293,LightGBM_BAG_L1_waterfall_best_5
LightGBM_BAG_L1,best,6,ThyroidXL_train_00002132_07C88766_2.png,1,1,0.9850679636001587,LightGBM_BAG_L1_waterfall_best_6
LightGBM_BAG_L1,best,7,ThyroidXL_train_00003712_49F762EF_1.png,1,1,0.9843572378158569,LightGBM_BAG_L1_waterfall_best_7
LightGBM_BAG_L1,best,8,ThyroidXL_train_00000498_6B87C071_2.png,1,1,0.9841455221176147,LightGBM_BAG_L1_waterfall_best_8
LightGBM_BAG_L1,best,9,ThyroidXL_train_00000996_1F40691A_0.png,1,1,0.983160138130188,LightGBM_BAG_L1_waterfall_best_9
LightGBM_BAG_L1,best,10,ThyroidXL_train_00000820_CB8ED5C5_0.png,1,1,0.9827272295951843,LightGBM_BAG_L1_waterfall_best_10
LightGBM_BAG_L1,medium,1,ThyroidXL_train_00003812_EC35C4AC_1.png,0,0,0.05263662338256836,LightGBM_BAG_L1_waterfall_medium_1
LightGBM_BAG_L1,medium,2,ThyroidXL_train_00003920_D997D748_0.png,0,0,0.05317399650812149,LightGBM_BAG_L1_waterfall_medium_2
LightGBM_BAG_L1,medium,3,ThyroidXL_train_00002815_B86E5852_0.png,0,0,0.0532209649682045,LightGBM_BAG_L1_waterfall_medium_3
LightGBM_BAG_L1,medium,4,ThyroidXL_train_00003571_A08DD8C8_1.png,0,0,0.0534181222319603,LightGBM_BAG_L1_waterfall_medium_4
LightGBM_BAG_L1,medium,5,ThyroidXL_train_00003912_C7B46B3D_0.png,0,0,0.05381283536553383,LightGBM_BAG_L1_waterfall_medium_5
LightGBM_BAG_L1,medium,6,TN3K_train_private_354.jpg,1,1,0.8870129585266113,LightGBM_BAG_L1_waterfall_medium_6
LightGBM_BAG_L1,medium,7,TN5K_train_002209.jpg,1,1,0.8868352174758911,LightGBM_BAG_L1_waterfall_medium_7
LightGBM_BAG_L1,medium,8,ThyroidXL_train_00000212_32756AB3_1.png,1,1,0.8864573240280151,LightGBM_BAG_L1_waterfall_medium_8
LightGBM_BAG_L1,medium,9,TN3K_train_private_573.jpg,1,1,0.8861241340637207,LightGBM_BAG_L1_waterfall_medium_9
LightGBM_BAG_L1,medium,10,TN3K_train_2869.jpg,1,1,0.8859941363334656,LightGBM_BAG_L1_waterfall_medium_10
LightGBM_BAG_L1,worst,1,TN5K_train_000340.jpg,0,1,0.8120380640029907,LightGBM_BAG_L1_waterfall_worst_1
LightGBM_BAG_L1,worst,2,TN5K_train_000674.jpg,0,1,0.8150943517684937,LightGBM_BAG_L1_waterfall_worst_2
LightGBM_BAG_L1,worst,3,TN5K_train_004653.jpg,0,1,0.8171489238739014,LightGBM_BAG_L1_waterfall_worst_3
LightGBM_BAG_L1,worst,4,ThyroidXL_train_00002118_85B0F5EF_0.png,1,0,0.12991024553775787,LightGBM_BAG_L1_waterfall_worst_4
LightGBM_BAG_L1,worst,5,ThyroidXL_train_00001682_CD14D194_2.png,1,0,0.11023186147212982,LightGBM_BAG_L1_waterfall_worst_5
LightGBM_BAG_L1,worst,6,ThyroidXL_train_00000479_38A73B48_0.png,1,0,0.0981045588850975,LightGBM_BAG_L1_waterfall_worst_6
LightGBM_BAG_L1,worst,7,ThyroidXL_train_00000483_07F11BC9_1.png,1,0,0.06932515650987625,LightGBM_BAG_L1_waterfall_worst_7
LightGBM_BAG_L1,worst,8,ThyroidXL_train_00003770_2ED63B38_3.png,1,0,0.053906723856925964,LightGBM_BAG_L1_waterfall_worst_8
LightGBM_BAG_L1,worst,9,ThyroidXL_train_00002518_389C33FD_2.png,0,1,0.9537889957427979,LightGBM_BAG_L1_waterfall_worst_9
LightGBM_BAG_L1,worst,10,ThyroidXL_train_00002667_A7AEE197_3.png,0,1,0.9697110652923584,LightGBM_BAG_L1_waterfall_worst_10
LightGBM_BAG_L1,correct,1,ThyroidXL_train_00003284_1F60E8DF_3.png,0,0,0.007401821203529835,LightGBM_BAG_L1_waterfall_correct_1
LightGBM_BAG_L1,correct,2,ThyroidXL_train_00003291_452B8F69_1.png,0,0,0.007748380769044161,LightGBM_BAG_L1_waterfall_correct_2
LightGBM_BAG_L1,correct,3,ThyroidXL_train_00003557_31BFBEF0_1.png,0,0,0.007777410093694925,LightGBM_BAG_L1_waterfall_correct_3
LightGBM_BAG_L1,correct,4,ThyroidXL_train_00003715_0997EB86_3.png,0,0,0.007938936352729797,LightGBM_BAG_L1_waterfall_correct_4
LightGBM_BAG_L1,correct,5,ThyroidXL_train_00004768_BF830658_0.png,0,0,0.00807945616543293,LightGBM_BAG_L1_waterfall_correct_5
LightGBM_BAG_L1,correct,6,ThyroidXL_train_00002132_07C88766_2.png,1,1,0.9850679636001587,LightGBM_BAG_L1_waterfall_correct_6
LightGBM_BAG_L1,correct,7,ThyroidXL_train_00003712_49F762EF_1.png,1,1,0.9843572378158569,LightGBM_BAG_L1_waterfall_correct_7
LightGBM_BAG_L1,correct,8,ThyroidXL_train_00000498_6B87C071_2.png,1,1,0.9841455221176147,LightGBM_BAG_L1_waterfall_correct_8
LightGBM_BAG_L1,correct,9,ThyroidXL_train_00000996_1F40691A_0.png,1,1,0.983160138130188,LightGBM_BAG_L1_waterfall_correct_9
LightGBM_BAG_L1,correct,10,ThyroidXL_train_00000820_CB8ED5C5_0.png,1,1,0.9827272295951843,LightGBM_BAG_L1_waterfall_correct_10
