model,category,figure_index,image_name,true_label,pred_label,prob_positive,plot_file
LightGBM_BAG_L1,best,1,ThyroidXL_train_00002730_C9690598_1.png,0,0,0.002246599644422531,LightGBM_BAG_L1_waterfall_best_1
LightGBM_BAG_L1,best,2,ThyroidXL_train_00004527_A9A3D8EF_1.png,0,0,0.002484286203980446,LightGBM_BAG_L1_waterfall_best_2
LightGBM_BAG_L1,best,3,ThyroidXL_train_00001753_C22FA823_0.png,0,0,0.002782397670671344,LightGBM_BAG_L1_waterfall_best_3
LightGBM_BAG_L1,best,4,ThyroidXL_train_00001690_F7F30A45_1.png,0,0,0.003004662226885557,LightGBM_BAG_L1_waterfall_best_4
LightGBM_BAG_L1,best,5,ThyroidXL_train_00003746_32193156_3.png,0,0,0.003173457458615303,LightGBM_BAG_L1_waterfall_best_5
LightGBM_BAG_L1,best,6,ThyroidXL_train_00000820_CB8ED5C5_0.png,1,1,0.9754427671432495,LightGBM_BAG_L1_waterfall_best_6
LightGBM_BAG_L1,best,7,TN5K_train_001950.jpg,1,1,0.9746077656745911,LightGBM_BAG_L1_waterfall_best_7
LightGBM_BAG_L1,best,8,TN5K_train_003183.jpg,1,1,0.9744632244110107,LightGBM_BAG_L1_waterfall_best_8
LightGBM_BAG_L1,best,9,TN3K_train_2681.jpg,1,1,0.9725102782249451,LightGBM_BAG_L1_waterfall_best_9
LightGBM_BAG_L1,best,10,TN5K_train_000909.jpg,1,1,0.9709180593490601,LightGBM_BAG_L1_waterfall_best_10
LightGBM_BAG_L1,medium,1,ThyroidXL_train_00003332_4FF14E12_1.png,0,0,0.11931263655424118,LightGBM_BAG_L1_waterfall_medium_1
LightGBM_BAG_L1,medium,2,TN3K_train_0555.jpg,0,0,0.11939280480146408,LightGBM_BAG_L1_waterfall_medium_2
LightGBM_BAG_L1,medium,3,ThyroidXL_train_00004372_B2433C88_2.png,0,0,0.1195807009935379,LightGBM_BAG_L1_waterfall_medium_3
