model,category,figure_index,image_name,true_label,pred_label,prob_positive,plot_file
LightGBM_BAG_L1,best,1,62_Benign_center1.png,0,0,0.014414508827030659,LightGBM_BAG_L1_waterfall_best_1
LightGBM_BAG_L1,best,2,42_Benign_center1.png,0,0,0.01579611748456955,LightGBM_BAG_L1_waterfall_best_2
LightGBM_BAG_L1,best,3,96_Benign_center1.png,0,0,0.015822112560272217,LightGBM_BAG_L1_waterfall_best_3
LightGBM_BAG_L1,best,4,21_Benign_center1.png,0,0,0.01609184220433235,LightGBM_BAG_L1_waterfall_best_4
LightGBM_BAG_L1,best,5,2_Benign_center1.png,0,0,0.016392244026064873,LightGBM_BAG_L1_waterfall_best_5
LightGBM_BAG_L1,best,6,48_Malignant_center1.png,1,1,0.982100248336792,LightGBM_BAG_L1_waterfall_best_6
LightGBM_BAG_L1,best,7,80_Malignant_center1.png,1,1,0.9811846017837524,LightGBM_BAG_L1_waterfall_best_7
LightGBM_BAG_L1,best,8,20_Malignant_center2.png,1,1,0.9796385765075684,LightGBM_BAG_L1_waterfall_best_8
LightGBM_BAG_L1,best,9,58_Malignant_center1.png,1,1,0.9796019792556763,LightGBM_BAG_L1_waterfall_best_9
LightGBM_BAG_L1,best,10,70_Malignant_center1.png,1,1,0.9786133766174316,LightGBM_BAG_L1_waterfall_best_10
LightGBM_BAG_L1,medium,1,16_Benign_center2.png,0,0,0.027246389538049698,LightGBM_BAG_L1_waterfall_medium_1
LightGBM_BAG_L1,medium,2,73_Benign_center1.png,0,0,0.02808753401041031,LightGBM_BAG_L1_waterfall_medium_2
LightGBM_BAG_L1,medium,3,56_Benign_center1.png,0,0,0.02809092216193676,LightGBM_BAG_L1_waterfall_medium_3
LightGBM_BAG_L1,medium,4,1_Benign_center1.png,0,0,0.02809857949614525,LightGBM_BAG_L1_waterfall_medium_4
LightGBM_BAG_L1,medium,5,41_Benign_center1.png,0,0,0.029182348400354385,LightGBM_BAG_L1_waterfall_medium_5
LightGBM_BAG_L1,medium,6,56_Malignant_center1.png,1,1,0.9490296840667725,LightGBM_BAG_L1_waterfall_medium_6
LightGBM_BAG_L1,medium,7,11_Malignant_center1.png,1,1,0.9410182237625122,LightGBM_BAG_L1_waterfall_medium_7
LightGBM_BAG_L1,medium,8,6_Malignant_center1.png,1,1,0.9406599998474121,LightGBM_BAG_L1_waterfall_medium_8
LightGBM_BAG_L1,medium,9,36_Malignant_center1.png,1,1,0.9402734041213989,LightGBM_BAG_L1_waterfall_medium_9
LightGBM_BAG_L1,medium,10,5_Malignant_center1.png,1,1,0.9394480586051941,LightGBM_BAG_L1_waterfall_medium_10
LightGBM_BAG_L1,worst,1,76_Malignant_center1.png,1,1,0.7534621953964233,LightGBM_BAG_L1_waterfall_worst_1
LightGBM_BAG_L1,worst,2,37_Malignant_center1.png,1,1,0.7420419454574585,LightGBM_BAG_L1_waterfall_worst_2
LightGBM_BAG_L1,worst,3,7_Malignant_center1.png,1,1,0.7375455498695374,LightGBM_BAG_L1_waterfall_worst_3
LightGBM_BAG_L1,worst,4,43_Malignant_center1.png,1,1,0.6637319326400757,LightGBM_BAG_L1_waterfall_worst_4
LightGBM_BAG_L1,worst,5,86_Benign_center1.png,0,0,0.3498193919658661,LightGBM_BAG_L1_waterfall_worst_5
LightGBM_BAG_L1,worst,6,80_Benign_center1.png,0,0,0.36244356632232666,LightGBM_BAG_L1_waterfall_worst_6
LightGBM_BAG_L1,worst,7,26_Benign_center2.png,0,0,0.3980395197868347,LightGBM_BAG_L1_waterfall_worst_7
LightGBM_BAG_L1,worst,8,66_Benign_center1.png,0,0,0.40703338384628296,LightGBM_BAG_L1_waterfall_worst_8
LightGBM_BAG_L1,worst,9,1_Benign_center2.png,0,0,0.41051965951919556,LightGBM_BAG_L1_waterfall_worst_9
LightGBM_BAG_L1,worst,10,22_Malignant_center2.png,1,1,0.5190740823745728,LightGBM_BAG_L1_waterfall_worst_10
LightGBM_BAG_L1,correct,1,62_Benign_center1.png,0,0,0.014414508827030659,LightGBM_BAG_L1_waterfall_correct_1
LightGBM_BAG_L1,correct,2,42_Benign_center1.png,0,0,0.01579611748456955,LightGBM_BAG_L1_waterfall_correct_2
LightGBM_BAG_L1,correct,3,96_Benign_center1.png,0,0,0.015822112560272217,LightGBM_BAG_L1_waterfall_correct_3
LightGBM_BAG_L1,correct,4,21_Benign_center1.png,0,0,0.01609184220433235,LightGBM_BAG_L1_waterfall_correct_4
LightGBM_BAG_L1,correct,5,2_Benign_center1.png,0,0,0.016392244026064873,LightGBM_BAG_L1_waterfall_correct_5
LightGBM_BAG_L1,correct,6,48_Malignant_center1.png,1,1,0.982100248336792,LightGBM_BAG_L1_waterfall_correct_6
LightGBM_BAG_L1,correct,7,80_Malignant_center1.png,1,1,0.9811846017837524,LightGBM_BAG_L1_waterfall_correct_7
LightGBM_BAG_L1,correct,8,20_Malignant_center2.png,1,1,0.9796385765075684,LightGBM_BAG_L1_waterfall_correct_8
LightGBM_BAG_L1,correct,9,58_Malignant_center1.png,1,1,0.9796019792556763,LightGBM_BAG_L1_waterfall_correct_9
LightGBM_BAG_L1,correct,10,70_Malignant_center1.png,1,1,0.9786133766174316,LightGBM_BAG_L1_waterfall_correct_10
